Senate_ID,First,Last,Seniority,Bills_Sponsored,Bills_Cosponsored,total_votes,missed_votes,missed_votes_pct,votes_with_party,votes_with_party_pct,rank,notes
A000069,Daniel,Akaka,15,75,256,645,16,2.48,16,93.32,37,NA
A000360,Lamar,Alexander,3,26,181,645,15,2.33,15,92.38,40,NA
A000109,Wayne,Allard,9,47,159,645,4,0.62,4,91.58,83,NA
A000121,George,Allen,5,65,288,645,2,0.31,2,92.69,91,Defeated for reelection
B000243,Max,Baucus,27,46,219,645,22,3.41,22,82.02,22,NA
B001233,Evan,Bayh,7,22,235,645,14,2.17,14,90.17,42,NA
B000382,Robert,Bennett,13,17,122,645,11,1.71,11,94.01,52,NA
B000444,Joseph,Biden Jr.,33,41,258,645,64,9.92,64,90.53,4,NA
B000468,Jeff,Bingaman,23,56,362,645,16,2.48,16,89.51,38,NA
B000611,Christopher,Bond,19,29,138,645,2,0.31,2,91.76,92,NA
B000711,Barbara,Boxer,13,47,406,645,26,4.03,26,92.73,16,NA
B000953,Sam,Brownback,11,97,211,645,13,2.02,13,90.03,45,NA
B001066,Jim,Bunning,7,29,174,645,20,3.1,20,92.96,27,NA
B001126,Conrad,Burns,17,44,221,645,18,2.79,18,92.34,31,Defeated for reelection
B001135,Richard,Burr,1,81,189,645,10,1.55,10,90.71,56,NA
B001210,Robert,Byrd,47,13,95,645,17,2.64,17,82.64,32,NA
C000127,Maria,Cantwell,5,50,342,645,8,1.24,8,91.05,65,NA
C000174,Thomas,Carper,5,70,167,645,2,0.31,2,83.36,93,NA
C001040,Lincoln,Chafee,7,8,222,645,20,3.1,20,61.92,28,Defeated for reelection
C000286,Saxby,Chambliss,3,74,215,645,17,2.64,17,93.15,33,NA
C001041,Hillary,Clinton,5,90,497,645,16,2.48,16,93,39,NA
C000560,Tom,Coburn,1,16,153,645,8,1.24,8,85.87,66,NA
C000567,Thad,Cochran,27,15,273,645,13,2.02,13,93.04,46,NA
C001057,Norm,Coleman,3,65,299,645,25,3.88,25,84.68,18,NA
C001035,Susan,Collins,9,54,304,645,0,0,0,74.57,100,NA
C000705,Kent,Conrad,19,27,145,645,19,2.95,19,82.43,29,NA
C001056,John,Cornyn,3,44,216,645,8,1.24,8,92.15,67,NA
C001042,Jon,Corzine,5,34,265,366,136,37.16,136,90.87,1,Elected governor of NJ
C000858,Larry,Craig,15,49,182,645,10,1.55,10,92.44,57,NA
C000880,Michael,Crapo,7,30,181,645,4,0.62,4,94.07,84,NA
D000596,Mark,Dayton,5,16,324,645,32,4.96,32,92.82,10,Retired
D000595,Jim,DeMint,1,77,158,645,11,1.71,11,90.22,53,NA
D000294,Michael,DeWine,11,92,375,645,3,0.47,3,78.04,89,Defeated for reelection
D000388,Christopher,Dodd,25,60,344,645,29,4.5,29,91.72,14,NA
D000601,Elizabeth,Dole,3,34,230,645,7,1.09,7,92.95,74,NA
D000407,Pete,Domenici,33,56,144,645,28,4.34,28,92.71,15,NA
D000432,Byron,Dorgan,13,32,286,645,14,2.17,14,87.32,43,NA
D000563,Richard,Durbin,9,85,552,645,7,1.09,7,93.89,73,NA
E000194,John,Ensign,5,44,166,645,12,1.86,12,88.31,47,NA
E000285,Michael,Enzi,9,43,182,645,36,5.58,36,92.12,8,NA
F000061,Russ,Feingold,13,75,276,645,8,1.24,8,86.03,68,NA
F000062,Dianne,Feinstein,13,129,337,645,11,1.71,11,92.11,54,NA
F000439,William,Frist,11,125,141,645,4,0.62,4,94.07,85,Retired
G000359,Lindsey,Graham,3,30,179,645,22,3.41,22,88.28,23,NA
G000386,Charles,Grassley,25,62,156,645,0,0,0,92.71,101,NA
G000445,Judd,Gregg,13,24,128,645,14,2.17,14,85.74,44,NA
H001028,Chuck,Hagel,9,38,254,645,10,1.55,10,89.61,58,NA
H000206,Tom,Harkin,21,47,273,645,12,1.86,12,91.47,48,NA
H000338,Orrin,Hatch,29,66,188,645,21,3.26,21,94.55,26,NA
H001016,Kay,Hutchison,13,40,156,645,7,1.09,7,91.38,75,NA
I000024,James,Inhofe,13,70,166,645,12,1.86,12,88.47,49,NA
I000025,Daniel,Inouye,37,48,250,645,71,11.01,71,90.94,3,NA
I000055,Johnny,Isakson,1,33,308,645,10,1.55,10,93.07,59,NA
J000072,James,Jeffords,17,25,283,645,34,5.27,34,88.71,9,Caucuses with the Ds; retired
J000177,Tim,Johnson,9,27,408,645,9,1.4,9,87.58,62,NA
K000105,Edward,Kennedy,43,69,424,645,19,2.95,19,93.29,30,NA
K000148,John,Kerry,21,69,414,645,26,4.03,26,93.05,17,NA
K000305,Herb,Kohl,17,20,180,645,6,0.93,6,91.08,79,NA
K000352,Jon,Kyl,11,30,147,645,4,0.62,4,89.7,86,NA
L000550,Mary,Landrieu,9,61,375,645,22,3.41,22,82.18,24,NA
L000123,Frank,Lautenberg,21,79,483,645,15,2.33,15,93.02,41,NA
L000174,Patrick,Leahy,31,32,308,645,3,0.47,3,92.68,90,NA
L000261,Carl,Levin,27,38,276,645,2,0.31,2,93.31,94,NA
L000304,Joseph,Lieberman,17,42,413,645,48,7.44,48,88.78,7,Defeated in Democratic primary; re-elected as independent
L000035,Blanche,Lincoln,7,43,277,645,6,0.93,6,86.85,80,NA
L000447,Trent,Lott,17,37,175,645,50,7.75,50,92.61,6,NA
L000504,Richard,Lugar,29,73,191,645,7,1.09,7,86.83,76,NA
M001162,Mel,Martinez,1,30,220,645,22,3.41,22,91.17,25,NA
M000303,John,McCain,19,75,152,645,58,8.99,58,79.39,5,NA
M000355,Mitch,McConnell,21,14,70,645,1,0.16,1,95.03,97,NA
M000702,Barbara,Mikulski,19,21,337,645,32,4.96,32,95.43,11,NA
M001153,Lisa,Murkowski,5,41,224,645,25,3.88,25,91.29,19,NA
M001111,Patty,Murray,13,32,340,645,5,0.78,5,92.03,81,NA
N000032,Bill,Nelson,5,41,269,645,10,1.55,10,84.57,60,NA
N000180,Ben,Nelson,5,32,183,645,2,0.31,2,62.52,95,NA
O000167,Barack,Obama,1,66,255,645,11,1.71,11,94.01,55,NA
P000590,Mark,Pryor,3,12,259,645,2,0.31,2,85.54,96,NA
R000122,Jack,Reed,9,36,230,645,1,0.16,1,93.48,98,NA
R000146,Harry,Reid,19,61,259,645,1,0.16,1,92.7,99,NA
R000307,Pat,Roberts,9,15,151,645,9,1.4,9,93.55,63,NA
R000361,John,Rockefeller IV,21,50,208,645,143,22.17,143,91.24,2,NA
S001163,Ken,Salazar,1,43,339,645,12,1.86,12,89.57,50,NA
S000059,Richard,Santorum,11,156,272,645,30,4.65,30,91.54,13,Defeated for reelection
S000064,Paul,Sarbanes,29,20,189,645,7,1.09,7,93.42,77,Retired
S000148,Charles,Schumer,7,98,355,645,8,1.24,8,92.31,69,NA
S001141,Jeff,Sessions,9,28,139,645,7,1.09,7,91.07,78,NA
S000320,Richard,Shelby,19,12,62,645,10,1.55,10,91.97,61,NA
S001142,Gordon,Smith,9,94,232,645,9,1.4,9,86.95,64,NA
S000663,Olympia,Snowe,11,89,294,645,8,1.24,8,71.27,70,NA
S000709,Arlen,Specter,25,85,179,645,17,2.64,17,76.59,34,NA
S000770,Debbie,Stabenow,5,43,316,645,8,1.24,8,92.31,71,NA
S000888,Ted,Stevens,37,44,198,645,8,1.24,8,90.27,72,NA
S001078,John,Sununu,3,16,134,645,17,2.64,17,83.92,35,NA
T000024,James,Talent,5,76,227,645,4,0.62,4,87.68,87,Defeated for reelection
T000162,Craig,Thomas,11,29,124,645,25,3.88,25,91.45,20,NA
T000250,John,Thune,1,23,183,645,17,2.64,17,91.24,36,NA
V000127,David,Vitter,1,74,241,645,24,3.72,24,90.66,21,NA
V000126,George,Voinovich,7,35,184,645,5,0.78,5,85.78,82,NA
W000154,John,Warner,27,21,158,645,12,1.86,12,87.84,51,NA
W000779,Ron,Wyden,10,26,213,645,4,0.62,4,90.48,88,NA
